City_ID,city,max_temp,weather,lat,lon,Hotel Name
1232,hilo,83.93,few clouds,19.7297,-155.09,
1233,fukue,77.36,scattered clouds,32.6881,128.8419,
1236,seoul,77.41,overcast clouds,37.5683,126.9778,
1240,trinidad,89.58,broken clouds,-14.8333,-64.9,
1242,san matias,86.47,broken clouds,-16.3667,-58.4,
1246,victoria,84.33,broken clouds,22.2855,114.1577,
1247,mahebourg,72.25,light rain,-20.4081,57.7,
1250,waddan,76.19,clear sky,29.1614,16.139,
1252,kieta,85.44,overcast clouds,-6.2167,155.6333,
1257,bambous virieux,72.21,light rain,-20.3428,57.7575,
1258,monrovia,78.24,broken clouds,6.3005,-10.7969,
1260,namatanai,84.2,overcast clouds,-3.6667,152.4333,
1261,avarua,78.85,broken clouds,-21.2078,-159.775,
1263,puerto el triunfo,90.52,scattered clouds,13.2833,-88.55,
1265,camocim,79.93,clear sky,-2.9022,-40.8411,
1267,black river,80.6,light rain,18.0264,-77.8487,
1274,lompoc,93.34,clear sky,34.6391,-120.4579,
1276,ponta do sol,76.01,overcast clouds,32.6667,-17.1,
1277,makakilo city,84.52,light rain,21.3469,-158.0858,
1278,lompoc,93.34,clear sky,34.6391,-120.4579,
1279,paracuru,81.1,clear sky,-3.41,-39.0306,
1286,tocache,77.56,broken clouds,-8.1842,-76.5125,
1287,vaini,75.36,overcast clouds,-21.2,-175.2,
1289,jimeta,79.72,scattered clouds,9.2833,12.4667,
1290,hilo,83.93,few clouds,19.7297,-155.09,
1292,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1296,atuona,77.7,light rain,-9.8,-139.0333,
1298,victoria,84.33,broken clouds,22.2855,114.1577,
1302,balikpapan,72.59,moderate rain,-1.2675,116.8289,
1305,kapaa,78.19,light rain,22.0752,-159.319,
1308,mahebourg,72.25,light rain,-20.4081,57.7,
1310,cabo san lucas,88.52,few clouds,22.8909,-109.9124,
1314,westport,71.98,clear sky,41.1415,-73.3579,
1320,caravelas,76.21,clear sky,-17.7125,-39.2481,
1321,marsh harbour,80.4,clear sky,26.5412,-77.0636,
1324,mount isa,80.37,few clouds,-20.7333,139.5,
1329,acapulco,87.62,few clouds,16.8634,-99.8901,
1330,kilindoni,76.15,broken clouds,-7.9139,39.6668,
1333,vaini,75.36,overcast clouds,-21.2,-175.2,
1338,wau,71.42,light rain,7.7029,27.9953,
1340,yarada,79.12,few clouds,17.65,83.2667,
1341,atuona,77.7,light rain,-9.8,-139.0333,
1342,tateyama,78.1,clear sky,34.9833,139.8667,
1344,vaini,75.36,overcast clouds,-21.2,-175.2,
1346,faanui,78.91,scattered clouds,-16.4833,-151.75,
1350,batticaloa,78.82,overcast clouds,7.7102,81.6924,
1352,atuona,77.7,light rain,-9.8,-139.0333,
1353,bathsheba,84.81,scattered clouds,13.2167,-59.5167,
1356,faanui,78.91,scattered clouds,-16.4833,-151.75,
1359,bang saphan,75.15,overcast clouds,11.2126,99.5117,
1362,russell,76.91,overcast clouds,32.3502,-85.1999,
1363,hilo,83.93,few clouds,19.7297,-155.09,
1366,gat,72.81,scattered clouds,31.61,34.7642,
1367,maragogi,75.83,clear sky,-9.0122,-35.2225,
1369,atar,93.27,few clouds,20.5169,-13.0499,
1371,hilo,83.93,few clouds,19.7297,-155.09,
1372,hilo,83.93,few clouds,19.7297,-155.09,
1374,zhoucheng,76.01,overcast clouds,35.9122,116.3117,
1376,hasaki,73.8,clear sky,35.7333,140.8333,
1380,faanui,78.91,scattered clouds,-16.4833,-151.75,
1381,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1384,salalah,80.69,broken clouds,17.0151,54.0924,
1391,san cristobal,77.18,broken clouds,7.7669,-72.225,
1394,sao joao da barra,74.66,few clouds,-21.6403,-41.0511,
1398,vaini,75.36,overcast clouds,-21.2,-175.2,
1399,itarsi,75.22,broken clouds,22.6167,77.75,
1400,kembe,71.01,broken clouds,4.6228,21.8865,
1402,vaini,75.36,overcast clouds,-21.2,-175.2,
1406,todos santos,88.75,broken clouds,23.45,-110.2167,
1407,rikitea,73.63,broken clouds,-23.1203,-134.9692,
1408,filadelfia,77.7,broken clouds,39.9523,-75.1638,
1409,marzuq,75.99,broken clouds,14.4,46.4667,
1411,kearney,79.36,clear sky,40.6995,-99.0815,
1413,hilo,83.93,few clouds,19.7297,-155.09,
1418,avarua,78.85,broken clouds,-21.2078,-159.775,
1421,puerto ayora,75.16,scattered clouds,-0.7393,-90.3518,
1422,hilo,83.93,few clouds,19.7297,-155.09,
1428,vaini,75.36,overcast clouds,-21.2,-175.2,
1429,mao,73.96,scattered clouds,39.8885,4.2658,
1432,labuhan,78.44,overcast clouds,-6.8844,112.2051,
1437,atuona,77.7,light rain,-9.8,-139.0333,
1445,vaini,75.36,overcast clouds,-21.2,-175.2,
1446,bengkulu,74.17,moderate rain,-3.8004,102.2655,
1449,alyangula,84.07,scattered clouds,-13.8483,136.4192,
1450,saint-philippe,71.19,light rain,-21.3585,55.7679,
1454,forio,71.42,clear sky,40.7342,13.8646,
1456,westport,71.98,clear sky,41.1415,-73.3579,
