City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Clouds,Wind Speed
23,Rikitea,PF,2021-10-02 16:01:54,-23.1203,-134.9692,72.64,72,2,21.25
24,Hobart,AU,2021-10-02 16:00:21,-42.8794,147.3294,55.26,93,90,5.75
25,Bluff,NZ,2021-10-02 16:01:54,-46.6,168.3333,50.81,85,100,11.27
26,Busselton,AU,2021-10-02 16:01:55,-33.65,115.3333,52.09,59,93,20.18
27,Guerrero Negro,MX,2021-10-02 16:01:55,27.9769,-114.0611,75.79,63,3,1.28
28,Tasiilaq,GL,2021-10-02 16:01:55,65.6145,-37.6368,39.36,60,85,6.31
29,Chernaya Kholunitsa,RU,2021-10-02 16:01:56,58.8511,51.7154,42.66,93,100,3.71
30,Mataura,NZ,2021-10-02 16:01:56,-46.1927,168.8643,50.49,95,100,1.07
31,Saint George,US,2021-10-02 16:00:30,37.1041,-113.5841,75.34,29,1,4.61
32,Sinop,TR,2021-10-02 16:01:56,41.7711,34.8709,52.59,93,90,3.18
33,Ambon,ID,2021-10-02 16:01:57,-3.6954,128.1814,79.52,84,99,4.52
34,Kovvur,IN,2021-10-02 16:01:57,17.0167,81.7333,82.65,83,20,6.91
35,East London,ZA,2021-10-02 16:01:57,-33.0153,27.9116,60.48,61,78,30.47
36,Port Elizabeth,ZA,2021-10-02 16:01:58,-33.918,25.5701,54.1,82,75,27.63
37,Cape Town,ZA,2021-10-02 16:01:58,-33.9258,18.4232,59.11,45,80,15.05
38,Victoria,HK,2021-10-02 16:00:02,22.2855,114.1577,86.32,77,12,7.0
39,Ribeira Grande,PT,2021-10-02 16:01:59,38.5167,-28.7,75.6,83,75,14.97
40,Saint Anthony,US,2021-10-02 16:00:29,45.0205,-93.218,69.55,92,87,1.99
41,Hilo,US,2021-10-02 16:01:59,19.7297,-155.09,75.27,94,82,3.0
42,Mananjary,MG,2021-10-02 16:01:59,-21.2167,48.3333,72.82,79,0,12.91
43,Upernavik,GL,2021-10-02 16:02:00,72.7868,-56.1549,30.69,86,26,4.23
44,Khatanga,RU,2021-10-02 16:02:00,71.9667,102.5,20.8,98,91,2.66
45,Iacu,BR,2021-10-02 16:02:00,-12.7672,-40.2117,95.32,24,0,7.56
46,Junnar,IN,2021-10-02 16:02:01,19.2,73.8833,74.71,87,100,1.74
47,Komsomolskiy,UZ,2021-10-02 16:02:01,40.4272,71.7189,56.12,38,96,2.3
48,Porto Velho,BR,2021-10-02 16:01:59,-8.7619,-63.9039,89.65,51,0,4.61
49,Arlit,NE,2021-10-02 16:02:02,18.7369,7.3853,96.96,9,0,16.73
50,Karratha,AU,2021-10-02 16:02:02,-20.7377,116.8463,73.72,26,1,12.44
51,Dingle,PH,2021-10-02 16:02:02,10.9995,122.6711,77.0,90,100,2.06
52,Kapaa,US,2021-10-02 16:02:03,22.0752,-159.319,75.52,79,75,1.01
53,Mahajanga,MG,2021-10-02 16:02:03,-15.7167,46.3167,78.82,69,20,12.66
54,Akersberga,SE,2021-10-02 16:02:04,59.4794,18.2997,54.32,82,97,16.67
55,Darnah,LY,2021-10-02 16:02:04,32.767,22.6367,70.86,63,15,18.75
56,Cayenne,GF,2021-10-02 16:00:07,4.9333,-52.3333,91.44,72,75,3.0
57,Hermanus,ZA,2021-10-02 16:02:05,-34.4187,19.2345,57.9,57,71,8.19
58,La Ronge,CA,2021-10-02 16:02:05,55.1001,-105.2842,50.94,52,25,2.86
59,Afonso Claudio,BR,2021-10-02 16:02:05,-20.0742,-41.1239,91.81,38,76,5.99
60,Bredasdorp,ZA,2021-10-02 16:02:06,-34.5322,20.0403,55.27,55,90,8.32
61,Juneau,US,2021-10-02 16:02:06,58.3019,-134.4197,47.21,97,100,3.0
62,Goundi,TD,2021-10-02 16:02:06,9.3627,17.366,85.12,69,84,1.7
63,Bakel,SN,2021-10-02 16:02:07,14.905,-12.4568,95.94,39,98,7.45
64,Opuwo,NA,2021-10-02 16:02:07,-18.0607,13.84,83.46,6,10,19.95
65,Kodiak,US,2021-10-02 16:02:07,57.79,-152.4072,36.91,52,90,19.57
66,Ternate,ID,2021-10-02 16:02:08,0.8,127.4,80.42,76,100,0.74
67,Niono,ML,2021-10-02 16:02:08,14.2526,-5.993,98.22,27,15,8.21
68,Saint-Augustin,CA,2021-10-02 16:02:08,51.226,-58.6502,46.09,92,100,13.62
69,Nizhneangarsk,RU,2021-10-02 16:02:09,55.7833,109.55,35.42,66,56,5.06
70,Gorontalo,ID,2021-10-02 16:02:09,0.5412,123.0595,75.9,96,100,2.71
71,Port Hedland,AU,2021-10-02 16:02:09,-20.3167,118.5667,66.25,82,3,8.05
72,Wairoa,NZ,2021-10-02 16:02:10,-39.0333,177.3667,45.55,96,43,3.0
73,Sinnamary,GF,2021-10-02 16:02:10,5.3833,-52.95,84.51,70,89,9.1
74,Punta Arenas,CL,2021-10-02 16:02:11,-53.15,-70.9167,41.11,75,100,16.31
75,Nikolskoye,RU,2021-10-02 16:02:11,59.7035,30.7861,51.69,83,78,5.26
76,Sitka,US,2021-10-02 16:02:11,57.0531,-135.33,48.09,81,90,19.57
77,Port Hawkesbury,CA,2021-10-02 16:02:11,45.6169,-61.3485,59.92,74,37,5.99
78,Jaisalmer,IN,2021-10-02 16:02:12,26.9147,70.9181,91.09,43,31,9.98
79,Cherskiy,RU,2021-10-02 16:02:12,68.75,161.3,23.18,96,99,7.61
80,Atuona,PF,2021-10-02 16:02:13,-9.8,-139.0333,77.88,74,42,22.73
81,Aklavik,CA,2021-10-02 16:02:13,68.2191,-135.0107,36.32,98,100,12.88
82,Vila,PT,2021-10-02 16:02:13,42.0304,-8.1588,58.08,92,100,10.31
83,Wad Madani,SD,2021-10-02 16:02:14,14.4012,33.5199,96.39,18,100,0.69
84,Alofi,NU,2021-10-02 16:02:14,-19.0595,-169.9187,77.05,75,100,24.85
85,Zhigansk,RU,2021-10-02 16:02:14,66.7697,123.3711,27.05,84,13,10.96
86,Katherine,AU,2021-10-02 16:02:15,-14.4667,132.2667,82.72,61,88,5.75
87,Nanortalik,GL,2021-10-02 16:02:15,60.1432,-45.2371,44.01,55,0,11.36
88,Cayeli,TR,2021-10-02 16:02:15,41.0923,40.7292,63.68,84,65,2.39
89,Butaritari,KI,2021-10-02 16:02:16,3.0707,172.7902,82.58,70,98,22.73
90,Jawhar,SO,2021-10-02 16:02:16,2.7809,45.5005,78.64,76,62,14.94
91,Shimoda,JP,2021-10-02 16:02:16,34.6667,138.95,69.1,83,2,3.87
92,Acajutla,SV,2021-10-02 16:02:17,13.5928,-89.8275,84.67,65,71,2.95
93,Chokurdakh,RU,2021-10-02 16:02:17,70.6333,147.9167,3.67,97,25,4.52
94,Buala,SB,2021-10-02 16:02:17,-8.145,159.5921,79.65,81,97,2.91
95,Damietta,EG,2021-10-02 16:02:18,31.4165,31.8133,76.26,73,0,16.96
96,Georgetown,MY,2021-10-02 16:01:24,5.4112,100.3354,81.9,82,20,0.0
97,Norman Wells,CA,2021-10-02 16:02:18,65.282,-126.8329,34.2,93,100,0.87
